altura,peso
167.09,51.25
181.65,61.91
176.27,69.41
173.27,64.56
172.18,65.45
174.49,55.93
177.3,64.18
177.84,61.9
172.47,50.97
169.63,54.73
168.88,57.81
171.76,51.77
173.49,56.98
170.48,55.55
173.43,52.66
180.57,63.5
168.81,58.74
174.37,64.85
180.93,62.55
170.51,56.27
172.3,64.08
174.95,65.11
161.24,44.41
173.79,58.74
171.78,64.34
170.71,58.84
179.94,64.6
171.44,59.67
169.0,49.14
166.22,51.66
176.59,46.86
167.17,54.77
172.25,57.06
179.31,61.79
182.38,63.55
175.78,58.4
169.68,64.32
171.85,54.99
172.23,59.58
162.68,48.4
174.18,56.41
165.57,56.64
176.93,63.35
172.64,62.31
167.59,48.28
174.43,58.41
169.88,66.08
171.95,52.99
177.35,65.15
175.48,61.2
177.58,66.69
171.02,57.3
178.48,56.92
175.52,52.48
166.07,56.01
178.27,67.08
178.83,70.71
169.02,58.09
168.57,54.15
171.54,60.7
168.92,58.39
175.26,62.39
173.49,58.86
170.21,58.43
179.85,61.38
173.28,49.72
175.41,64.62
172.04,60.21
170.73,46.96
171.11,56.58
165.79,58.66
179.94,60.79
177.61,63.68
163.28,46.65
173.34,58.3
168.55,54.57
173.64,62.87
166.31,60.31
177.09,52.45
172.02,55.58
174.34,61.07
169.63,55.29
177.93,70.48
168.35,58.49
175.77,58.56
175.6,63.26
171.11,63.91
178.04,59.69
178.25,54.94
173.29,59.65
173.05,61.94
178.42,64.18
181.58,63.78
175.78,50.87
177.96,60.54
179.21,59.78
168.37,54.44
161.1,55.84
169.59,58.12
174.97,52.38
164.78,46.31
170.42,59.13
173.6,60.86
166.65,44.74
172.1,51.96
172.77,56.01
171.86,55.81
168.44,57.37
176.37,58.25
162.14,57.69
172.02,55.36
177.93,57.88
178.27,59.71
167.5,50.75
177.82,55.36
174.27,58.31
174.77,60.18
177.2,61.72
166.26,52.59
174.82,62.1
167.13,54.38
170.73,49.44
176.33,58.18
175.12,61.37
